Date,Price
June 12 - 2018 at 05:59PM,$6764.80
June 13 - 2018 at 05:59PM,$6373.60
June 14 - 2018 at 05:59PM,$6335.98
June 15 - 2018 at 05:59PM,$6551.40
June 16 - 2018 at 05:59PM,$6363.82
June 17 - 2018 at 06:00PM,$6515.01
June 18 - 2018 at 05:59PM,$6466.88
June 19 - 2018 at 05:59PM,$6750.30
June 20 - 2018 at 06:00PM,$6756.85
June 21 - 2018 at 05:59PM,$6717.00
June 22 - 2018 at 06:00PM,$6153.05
June 23 - 2018 at 05:59PM,$6112.25
June 24 - 2018 at 05:59PM,$5783.08
June 25 - 2018 at 05:59PM,$6290.00
June 26 - 2018 at 05:59PM,$6185.00
June 27 - 2018 at 06:00PM,$6110.41
June 28 - 2018 at 06:00PM,$6098.75
June 29 - 2018 at 06:00PM,$5898.58
June 30 - 2018 at 05:59PM,$6375.63
July 1 - 2018 at 05:59PM,$6317.91
July 2 - 2018 at 05:59PM,$6611.00
July 3 - 2018 at 05:59PM,$6588.58
July 4 - 2018 at 05:59PM,$6679.50
July 5 - 2018 at 05:59PM,$6609.30
July 6 - 2018 at 05:59PM,$6566.77
July 7 - 2018 at 05:59PM,$6555.75
July 8 - 2018 at 05:59PM,$6742.00
July 9 - 2018 at 05:59PM,$6715.90
July 10 - 2018 at 06:00PM,$6380.70
July 11 - 2018 at 05:59PM,$6365.95
July 12 - 2018 at 06:00PM,$6168.79
July 13 - 2018 at 05:59PM,$6257.13
July 14 - 2018 at 06:00PM,$6241.31
July 15 - 2018 at 05:59PM,$6370.48
July 16 - 2018 at 06:00PM,$6629.00
July 17 - 2018 at 05:59PM,$6761.01
July 18 - 2018 at 05:59PM,$7418.68
July 19 - 2018 at 05:59PM,$7371.73
July 20 - 2018 at 05:59PM,$7463.58
July 21 - 2018 at 05:59PM,$7389.21
July 22 - 2018 at 05:59PM,$7517.33
July 23 - 2018 at 06:00PM,$7725.51
July 24 - 2018 at 06:00PM,$8177.09
July 25 - 2018 at 06:00PM,$8091.00
July 26 - 2018 at 05:59PM,$8201.68
July 27 - 2018 at 06:00PM,$8145.00
July 28 - 2018 at 06:00PM,$8103.62
July 29 - 2018 at 05:59PM,$8221.23
July 30 - 2018 at 05:59PM,$8115.00
July 31 - 2018 at 06:00PM,$7751.00
August 1 - 2018 at 06:00PM,$7599.90
August 2 - 2018 at 05:59PM,$7526.21
August 9 - 2018 at 05:59PM,$6443.00
August 10 - 2018 at 05:59PM,$6450.82
August 11 - 2018 at 05:59PM,$6117.06
August 12 - 2018 at 06:00PM,$6314.60
August 13 - 2018 at 06:00PM,$6291.51
August 14 - 2018 at 05:59PM,$6038.39
August 15 - 2018 at 05:59PM,$6450.01
